prod_id,prod_name,category,subcategory,color,size,weight,quantity,sold,price,currency,price_discount,rating_count,avg_rating,location,artisan_name,description
13,Pyrex Frosted T-Light with Arabic Calligraphy,Glass,Home Decor,Frosted & White,One Size,1.02,40,4,775,EGP,617,22,4.37,Aswan,Mostafa Ibrahim,"Crafted from Pyrex glass with a frosted white finish, this T-Light is adorned with intricate Arabic calligraphy. Its blend of tradition and modern style offers a luminous decorative touch."
14,Round Colored Pyrex Frosted Vase with Arabic Calligraphy,Glass,Home Decor,Frosted,One Size,2,44,89,530,EGP,495,58,3.14,Cairo,Laila Nasser,"This round vase, made from colored Pyrex with a frosted finish, features elegant Arabic calligraphy. Its timeless design and vibrant details make it a versatile accent piece."
15,Backpack,Leather,Accessories,Havan,28*40 Cm,0.58,28,13,1465,EGP,1075,58,3.64,Alexandria,Samir Fathy,"Handcrafted from genuine Havan leather, this backpack offers a spacious design ideal for daily use. Its durable construction and unique color make it both functional and stylish."
16,Backpack,Leather,Accessories,Red,29*35 Cm,1.3,7,26,1465,EGP,1150,86,4.69,Giza,Khaled Mostafa,"Made from premium red leather, this backpack combines vibrant style with practicality. Its sturdy build and thoughtfully designed compartments ensure everyday functionality."
17,Black cross-body bag with cat shape handle,Leather,Accessories,Black,17*23 Cm,1.34,26,8,570,EGP,415,49,3.05,Alexandria,Samir Fathy,"This distinctive cross-body bag, crafted from high-quality black leather, features a playful cat-shaped handle. Its compact design and unique detailing make it an eye-catching accessory."
18,Clutch bag,Leather,Accessories,Black,17*21 Cm,1.24,6,78,570,EGP,530,52,4.63,Luxor,Nour Khaled,"Designed from luxurious black leather, this clutch bag exudes elegance with its sleek and compact design. Perfect for evening outings, it offers both style and practicality."
19,Cross-body bag for mobile and cards,Leather,Accessories,Havan,12*20 Cm,1.15,28,14,977,EGP,898,42,3.56,Giza,Khaled Mostafa,"Crafted from genuine Havan leather, this compact cross-body bag is tailored for carrying mobile devices and cards. Its refined design makes it a practical everyday accessory."
20,Genuine cowhide portefeuille,Leather,Accessories,Black & White,One Size,0.72,48,89,410,EGP,313,70,3.24,Cairo,Laila Nasser,"Handmade from genuine cowhide leather in a striking black and white palette, this portefeuille offers both elegance and durability. Its timeless design makes it a versatile accessory."
21,Genuine leather pocket bag pharonic hollow out,Leather,Accessories,Brown,28*35 Cm,0.53,34,41,570,EGP,493,15,4.39,Giza,Khaled Mostafa,This pharaonic-inspired pocket bag is crafted from genuine brown leather with intricate hollow-out detailing. It beautifully blends traditional motifs with modern design elements.
22,Hollow out rectangular waist bag,Leather,Accessories,Red,15x24 Cm,1.13,42,76,977,EGP,883,54,4.26,Aswan,Mostafa Ibrahim,"Made from premium leather, this waist bag features a striking hollow-out rectangular design in a vibrant red tone. Its innovative style and secure fit make it a fashionable accessory."
23,Keychain Pharaonic Pyrography,Leather,Accessories,Brown,One Size,1.46,6,50,65,EGP,54,60,4.75,Giza,Khaled Mostafa,"Crafted from authentic leather, this keychain showcases intricate pharaonic pyrography in a rich brown hue. Its compact size and detailed artistry make it a unique keepsake."
24,Leather Cord Case with a Snap,Leather,Accessories,Multicolor,One Size,0.75,25,62,15,EGP,12,97,4.47,Aswan,Mostafa Ibrahim,"This small leather cord case, made from quality leather with a vibrant multicolor finish, features a secure snap closure. Its playful design makes it a delightful accessory."
25,Medium Men's Wallet,Leather,Accessories,Black,One Size,1.26,37,95,285,EGP,216,8,4.61,Cairo,Laila Nasser,"Handcrafted from premium black leather, this wallet offers a sleek design with ample space for essentials. Its refined finish and durable construction ensure lasting style."
26,Medium Men's Wallet,Leather,Accessories,Brown,One Size,1.24,16,51,285,EGP,206,53,3.56,Alexandria,Samir Fathy,"Crafted from genuine brown leather, this wallet combines classic style with practical compartments. Its minimalist design makes it an essential accessory."
27,Medium Men's Wallet,Leather,Accessories,Havan,One Size,1.26,26,95,285,EGP,263,60,3.35,Luxor,Nour Khaled,"This wallet, made from durable Havan leather, blends traditional texture with modern utility. Its compact design and quality finish provide sophisticated everyday functionality."
28,Men's Wallet & Pharaonic Pyrography Leather,Leather,Accessories,Brown,One Size,1.07,48,3,325,EGP,300,5,4.5,Aswan,Mostafa Ibrahim,"Featuring intricate pharaonic pyrography, this wallet is crafted from rich brown leather for a distinct look. Its unique detailing and durable material make it a standout accessory."
29,Multicolor & Multi-Round Bracelet,Leather,Accessories,Multicolor,One Size,1.06,29,93,55,EGP,47,68,4.61,Luxor,Nour Khaled,"This vibrant bracelet, crafted from quality leather in a multicolor finish, features multiple round accents for added flair. Its playful design and artisanal touch make it a unique accessory."
30,Natural Leather Bracelet for Men,Leather,Accessories,Brown,One Size,1.19,31,22,80,EGP,62,6,4.98,Cairo,Laila Nasser,"Made from genuine natural leather in a classic brown tone, this bracelet offers a minimalist yet sophisticated design. Its durable material and timeless style make it a versatile accessory."
31,Pharaonic Thermal Print Cross-Body Bag,Leather,Accessories,Black,18*20 Cm,1.23,46,14,410,EGP,322,96,3.83,Cairo,Laila Nasser,"Crafted from high-quality leather, this cross-body bag features a bold pharaonic thermal print in black. Its compact design and unique pattern blend tradition with modern style."
32,Pharaonic Thermal Print Cross-Body Bag,Leather,Accessories,Brown,18*20 Cm,1.41,32,42,410,EGP,361,94,3.74,Giza,Khaled Mostafa,"Made from genuine leather, this brown cross-body bag showcases a striking pharaonic thermal print. Its compact size and artistic detailing create a perfect blend of heritage and modern design."
33,Pharaonic Thermal Print Cross-Body Bag,Leather,Accessories,Havan,18*20 Cm,0.98,20,28,410,EGP,378,47,4.55,Luxor,Nour Khaled,"This distinctive cross-body bag, crafted from quality Havan leather, features an eye-catching pharaonic thermal print. Its refined design and compact dimensions make it a sophisticated accessory."
34,Small Men's Wallet with Pockets,Leather,Accessories,Blue,One Size,1,19,35,245,EGP,225,99,3.68,Giza,Khaled Mostafa,This wallet is crafted from durable blue leather and features convenient pockets for organization. Its compact design and refined finish make it a practical accessory.
35,Small Men's Wallet with Pockets,Leather,Accessories,Brown,One Size,0.9,48,12,245,EGP,219,55,4.86,Aswan,Heba Soliman,"Made from quality brown leather, this compact wallet offers multiple pockets for secure organization. Its sleek design and artisanal finish make it a stylish everyday accessory."
36,Small Men's Wallet with Sections,Leather,Accessories,Black,One Size,1.49,7,31,245,EGP,210,40,4.72,Cairo,Laila Nasser,"Crafted from premium black leather, this small wallet features well-defined sections for organizing essentials. Its minimalist design and durable construction ensure practicality and style."
37,Small Men's Wallet with Sections,Leather,Accessories,Brown,One Size,0.72,41,70,245,EGP,176,52,3.86,Alexandria,Samir Fathy,"Made from genuine brown leather, offers organized sections for efficient storage. Its elegant design and quality finish make it a timeless accessory."
38,Small Men's Wallet with Sections,Leather,Accessories,Havan,One Size,1.03,11,58,245,EGP,181,16,4.5,Aswan,Heba Soliman,"Crafted from durable Havan leather, this compact wallet features multiple sections to keep your essentials organized. Its unique texture and refined design make it ideal for daily use."
39,Small Men's Wallet with Sections,Leather,Accessories,Red,One Size,1.15,25,85,245,EGP,226,13,4.51,Cairo,Laila Nasser,"Crafted from quality red leather, offers multiple organized sections for essential storage. Its vibrant color and sleek design provide a modern twist on a classic accessory."
40,Standard Men's Wallet,Leather,Accessories,Black,One Size,1.02,13,27,410,EGP,349,30,3.21,Alexandria,Samir Fathy,"Made from premium black leather, this wallet offers ample space and a sleek design. Its durable construction and timeless style make it a practical everyday accessory."
41,Standard Men's Wallet,Leather,Accessories,Havan,One Size,1.34,43,65,410,EGP,287,19,4.81,Giza,Khaled Mostafa,"Crafted from durable Havan leather, this standard wallet provides a spacious design with a modern touch. Its quality material and refined finish make it essential for daily organization."
42,Standard Men's Wallet,Leather,Accessories,Red,One Size,1.35,22,41,410,EGP,297,17,4.01,Cairo,Omar El-Sayed,"Crafted from quality red leather, combines functionality with a bold design. Its ample compartments and sturdy construction ensure both style and practicality."
43,Standard Men's Wallet,Leather,Accessories,Brown,One Size,1.44,8,44,410,EGP,355,63,4.65,Aswan,Heba Soliman,"Made from genuine brown leather, this standard wallet offers a classic design with ample storage. Its durable material and elegant finish provide a timeless accessory."
44,Tote Bag with Front Pockets,Leather,Accessories,Red,28*30 Cm,1.46,29,61,1450,EGP,1016,19,3.64,Alexandria,Samir Fathy,"Crafted from high-quality red leather, this tote bag features convenient front pockets for added functionality. Its spacious design and durable construction make it perfect for everyday errands."
45,Waist Bag with Copper Ornament,Leather,Accessories,Red,14*20 Cm,0.86,18,56,815,EGP,603,92,4.79,Cairo,Omar El-Sayed,"Stylish waist bag, made from premium leather and accented with a copper ornament, offers a compact design with a modern twist. Its secure fit and unique detailing make it a standout accessory."
46,Waist Bag with Copper Ornament,Leather,Accessories,Reddish Brown,14*20 Cm,1.07,13,5,815,EGP,682,58,3.78,Luxor,Nour Khaled,"Crafted from quality leather in a warm reddish brown tone, this waist bag features an eye-catching copper ornament. Its compact design and refined finish provide both style and practicality."
47,Women's Pharaonic Wallet,Leather,Craft Item,Brown,One Size,1.03,30,27,490,EGP,427,55,3.02,Aswan,Heba Soliman,"This elegant women's wallet, crafted from genuine brown leather, features intricate pharaonic detailing. Its compact design and artisanal finish make it both a functional and stylish accessory."
48,Women's Wallet,Leather,Craft Item,Black,One Size,0.91,6,27,325,EGP,280,90,4.81,Alexandria,Samir Fathy,"Made from premium black leather, this women's wallet offers a sleek and contemporary design. Its compact size and refined craftsmanship make it perfect for everyday use."
49,Women's Yellow Bag with Fringe,Leather,Accessories,Yellow,30*38 Cm,0.58,24,43,980,EGP,740,90,3.18,Giza,Khaled Mostafa,"Crafted from high-quality leather in a vibrant yellow hue, this bag features playful fringe detailing. Its spacious design and eye-catching style make it a chic accessory for any outfit."
50,Women's Pull Up Tote Bag,Leather,Accessories,Brown,28*30 Cm,1.07,32,83,980,EGP,860,62,3.64,Luxor,Nour Khaled,This pull-up tote bag is made from genuine brown leather and features a minimalist design with ample space. Its durable material and stylish finish make it an ideal everyday accessory.
51,3 Turns Necklace Copper & Stones,Accessories,Craft Item,Red & Green & Yellow,One Size,1.24,11,29,650,EGP,493,23,4.9,Alexandria,Ahmed Ali,"Expertly crafted with a blend of copper and vibrant stones in red, green, and yellow, this necklace features a unique three-turn design. Its striking colors and intricate detailing make it a versatile statement piece."
52,Glass Beads Anklet,Accessories,Drinkware,Green,One Size,0.81,48,61,450,EGP,351,9,4.9,Cairo,Omar El-Sayed,"This delicate anklet, featuring sparkling green glass beads, showcases artisanal craftsmanship in every detail. Its lightweight design and vibrant accents make it a charming accessory."
53,Aswani Clay Necklace,Accessories,Craft Item,Blue,One Size,1.2,12,74,1150,EGP,1019,12,4.15,Cairo,Omar El-Sayed,"Handcrafted from authentic Aswani clay, this necklace boasts a striking blue hue and unique texture. Its blend of traditional material with modern design creates a standout accessory."
54,Blue Enamel Brass & Navy Blue Stone Earring,Accessories,Craft Item,Blue& Navy Blue,One Size,1.38,39,91,650,EGP,560,1,4.26,Giza,Khaled Mostafa,These earrings are crafted from brass with blue enamel accents and navy blue stone detailing. Their sophisticated design and quality materials create a perfect blend of tradition and modern elegance.
55,Bracelets Set & Beads & Copper,Accessories,Craft Item,Red& Pink,One Size,1.4,18,88,650,EGP,592,58,3.9,Aswan,Heba Soliman,"This set of bracelets, featuring a mix of beads and copper accents in red and pink, showcases intricate detailing and vibrant style. Their artisanal craftsmanship and dynamic color combination make them a unique accessory ensemble."
56,Copper and Coral Skirt Earring,Accessories,Craft Item,Yellow & Red,One Size,0.86,21,61,490,EGP,423,1,3.59,Cairo,Omar El-Sayed,"Crafted from quality copper with coral accents, this skirt earring in yellow and red offers a bold design statement. Its intricate detailing and vibrant hues create a captivating accessory."
57,Copper Earring with Fuchsia Enamel,Accessories,Craft Item,Yellow & Red,One Size,0.83,40,96,650,EGP,547,34,3.66,Giza,Fatima Hassan,This stylish earring is made from copper and features a vibrant fuchsia enamel accent. Its bold color contrast and refined finish add a modern twist to traditional design elements.
58,Copper Earring & Horus Eye,Accessories,Craft Item,Copper,One Size,1,44,0,700,EGP,506,96,4.35,Giza,Fatima Hassan,"Featuring a distinctive Horus eye design, this copper earring blends ancient symbolism with contemporary style. Its quality material and detailed craftsmanship make it a standout accessory."
59,Copper Earring & Key of Life,Accessories,Craft Item,Copper,One Size,0.67,8,26,700,EGP,554,48,4.5,Luxor,Nour Khaled,"Crafted from premium copper, this earring features a unique 'key of life' motif that symbolizes timeless tradition. Its intricate design and durable finish offer a striking accessory for any occasion."
60,Copper Eye Earring,Accessories,Craft Item,Copper,One Size,1.17,6,61,650,EGP,498,89,4.58,Alexandria,Ahmed Ali,"Made from high-quality copper, this eye earring features an artistic design that captures a sense of mystery and allure. Its refined detailing and timeless appeal make it a versatile accessory."
61,Copper Medal & Lotus,Accessories,Craft Item,Copper,One Size,0.95,10,76,400,EGP,304,1,4.58,Aswan,Heba Soliman,This copper medal features an elegant lotus design symbolizing beauty and rebirth. Its detailed craftsmanship and quality material make it a meaningful accessory piece.
62,Copper Medal & Winged Scarab,Accessories,Craft Item,Copper,One Size,0.73,46,2,485,EGP,457,16,3.18,Aswan,Heba Soliman,"Crafted from copper, this medal showcases a winged scarab design that blends ancient symbolism with modern aesthetics. Its intricate detailing and durable construction make it a captivating accessory."
63,Copper Skirt Ring,Accessories,Craft Item,Copper,One Size,1.49,8,69,300,EGP,239,61,3.99,Cairo,Omar El-Sayed,This uniquely designed copper ring features a skirt motif that highlights intricate detailing and artisanal craftsmanship. Its bold design and quality material offer a distinctive accessory for any collection.
64,Crescent Chain Plated with Gold and Silver,Accessories,Tableware,Copper & Gold & Silver,One Size,1.96,33,71,730,EGP,673,64,3.12,Giza,Fatima Hassan,"This stunning crescent chain is plated with gold and silver over a copper base, offering a luxurious blend of materials. Its elegant design and refined finish make it a statement accessory."
65,Earring from a Colorful Cloth Ribbon,Accessories,Craft Item,Multicolor,One Size,1.4,22,26,325,EGP,278,63,4.1,Cairo,Omar El-Sayed,"Handcrafted from a vibrant cloth ribbon, this multicolor earring showcases a creative fusion of texture and color. Its unique design and artisanal touch add a playful accent to any outfit."
66,Enameled Horse Brass Ring,Accessories,Craft Item,Copper,One Size,0.94,30,8,300,EGP,269,69,3.88,Cairo,Omar El-Sayed,"Crafted from brass on a copper base, this ring features an enameled horse design for a dynamic look. Its intricate detailing and quality finish make it a striking accessory piece."
67,Gold Plated Upper Egypt Brass Ring,Accessories,Tableware,Gold,One Size,2.06,48,61,325,EGP,268,22,4.78,Cairo,Omar El-Sayed,"This gold-plated ring, inspired by Upper Egypt brass designs, offers a luxurious finish and intricate detailing. Its elegant style and premium materials make it a standout accessory."
68,Half Circle Earring Copper & Colored Enamel,Accessories,Craft Item,Multicolor,One Size,0.72,38,36,650,EGP,548,93,3.7,Aswan,Heba Soliman,"Featuring a half-circle design, this copper earring is accented with vibrant colored enamel for a bold look. Its artistic design and quality craftsmanship make it a unique accessory piece."
69,Horus Wing Brass Earring,Accessories,Craft Item,Gold,One Size,0.96,14,96,570,EGP,469,67,3.23,Giza,Fatima Hassan,"Crafted from brass with a gold finish, this earring features a distinctive Horus wing design. Its intricate detailing and symbolic design create a captivating accessory."
70,Necklace pearls & copper,Accessories,Craft Item,Copper,One Size,0.75,40,50,815,EGP,610,76,3.29,Cairo,Omar El-Sayed,"This elegant necklace pairs delicate pearls with quality copper accents, creating a harmonious blend of materials. Its timeless design and refined craftsmanship make it a versatile accessory."
71,Red and black copper embroidered earring,Accessories,Craft Item,Red & Black,One Size,1.28,18,43,490,EGP,431,26,4.52,Aswan,Heba Soliman,"This striking earring, crafted from copper and accented with red and black embroidery, offers a bold and artistic design. Its unique detailing and quality finish provide a modern twist on traditional motifs."
72,Tray with hands of Fairuz Alabaster Marble,Marble,Craft Item,Metal & Blue,30 cm,1.67,35,23,2880,EGP,2218,16,4.24,Cairo,Laila Nasser,"Carved from exquisite alabaster marble with metal and blue accents, this tray features the iconic hands of Fairuz design. Its masterful craftsmanship and unique details make it a luxurious decorative piece."
73,Turquoise Alabaster Marble Small Copper Dump,Marble,Craft Item,Turquoise,21*11 cm,0.67,19,78,2930,EGP,2068,51,3.2,Alexandria,Ahmed Ali,"This small copper dump is crafted from turquoise alabaster marble, showcasing a vibrant hue and intricate detailing. Its blend of natural stone and copper accents creates a stunning collectible piece."
74,Large Blue Marble Shell Rectangular Handle Tray,Marble,Craft Item,Metal & Blue,30*50 cm,2,12,58,5725,EGP,4931,86,3.17,Aswan,Heba Soliman,"This large tray, made from blue marble with metal accents, features a shell design and a rectangular handle for easy use. Its bold design and premium material offer both functionality and visual appeal."
75,Albaster Marble Large Ribbed,Marble,Craft Item,Marble,21*6 cm,1.22,18,31,1750,EGP,1302,57,4.4,Aswan,Mostafa Ibrahim,"Crafted from fine alabaster marble, this large ribbed piece showcases natural textures and elegant finishes. Its durable material and distinctive design make it a timeless decorative accent."
76,Albaster Marble Ribbed,Marble,Home Decor,Marble,9*9 cm,1.05,27,95,775,EGP,724,29,3.15,Giza,Fatima Hassan,"This compact ribbed piece is made from alabaster marble, highlighting natural textures and refined craftsmanship. Its small size and elegant design make it a perfect accent for any space."
77,Albaster Marble Grey Small Copper Engraving ,Marble,Home Decor,Marble & Grey,11*21cm,0.98,44,87,2425,EGP,2275,78,4.64,Alexandria,Ahmed Ali,This small piece features grey-toned alabaster marble with delicate copper engraving. Its intricate design and refined material make it a unique decorative accent.
78,Marble Column Capitals,Marble,Home Decor,Marble,Large,0.52,25,51,1750,EGP,1625,92,4.41,Alexandria,Ahmed Ali,"Crafted from premium marble, these large column capitals showcase classic design and impeccable craftsmanship. Their timeless appeal and durable material make them a striking decorative statement."
79,Marble Column Capitals,Marble,Home Decor,Marble,Small,0.77,20,61,1600,EGP,1268,69,3.16,Alexandria,Ahmed Ali,"These small marble column capitals, crafted with precision, offer a classic design with a refined finish. Their elegant style and sturdy construction are perfect for decorative or architectural accents."
80,Black Marble Pyramids Set,Marble,Home Decor,Marble & Black,One Size,1.16,49,57,150,EGP,105,47,3.17,Alexandria,Ahmed Ali,This unique set features black marble pyramids that blend modern design with classic material. Their bold contrast and intricate craftsmanship create a captivating decorative piece.
81,Blue Hexagon Marble Serving Plate,Marble,Tableware,Marble & Blue,25 cm,2.14,22,51,550,EGP,512,94,4.97,Alexandria,Ahmed Ali,"Crafted from fine marble with blue accents, this hexagon serving plate offers a modern twist on a classic design. Its durable material and striking geometric pattern make it a conversation starter."
82,Colored Alabaster Marble Vase,Marble,Home Decor,Marble,13 cm,1.93,28,11,210,EGP,169,62,3.75,Luxor,Nour Khaled,"This vibrant vase is made from colored alabaster marble, showcasing a blend of natural hues and artistic design. Its compact size and unique finish make it a charming decorative accent."
83,Red Alabaster Marble Vase,Marble,Home Decor,Marble & Red,20 cm,1.71,30,38,350,EGP,329,69,3.74,Alexandria,Ahmed Ali,"Crafted from red alabaster marble, this vase features a striking blend of color and natural stone texture. Its elegant design and durable material make it a standout piece."
84,Marble Cup,Marble,Drinkware,Marble,10*5 cm,0.55,29,1,195,EGP,183,76,4.63,Aswan,Heba Soliman,"This small marble cup, carved from high-quality marble, offers a minimalist design with natural elegance. Its refined texture and sturdy construction make it a timeless collectible."
85,Rectangular Marble Serving Plate,Marble,Tableware,Marble,22 cm,1.64,49,2,530,EGP,484,16,4.89,Giza,Fatima Hassan,"Made from premium marble, this rectangular serving plate combines functionality with classic design. Its smooth finish and durable material make it a perfect addition to any dining setting."
86,Ribbed Alabaster Marble bonbonniere,Marble,Tableware,Marble,12*19 cm,0.88,45,55,630,EGP,487,90,4.97,Giza,Fatima Hassan,"This bonbonniere is crafted from ribbed alabaster marble, featuring intricate textures and refined detailing. Its unique design and durable finish offer a stylish touch to any decor."
87,White Alabaster Marble sugar bowl,Marble,Tableware,Marble & White,12 cm,1.36,33,80,310,EGP,246,90,4.51,Alexandria,Ahmed Ali,"Handcrafted from white alabaster marble, this sugar bowl boasts a clean and elegant design with subtle natural textures. Its timeless style makes it a charming table accent."
88,Beige Alabaster Marble vase,Marble,Home Decor,Marble & Beige,25 cm,1.67,19,58,630,EGP,575,48,3.75,Luxor,Nour Khaled,"This exquisite vase, made from beige alabaster marble, showcases a soft, natural palette with refined detailing. Its elegant design and durable material offer a versatile decorative accent."
89,Beige Alabaster Marble vase Tutankhamun,Marble,Home Decor,Marble & Beige,20 cm,1.63,49,1,310,EGP,241,85,3.17,Giza,Fatima Hassan,"Featuring a Tutankhamun-inspired design, this vase is crafted from beige alabaster marble with intricate detailing. Its unique blend of history and art makes it a captivating piece."
90,Alabaster Marble obelisk,Marble,Home Decor,Marble & Beige,20 cm,0.77,5,1,135,EGP,100,39,4.55,Giza,Fatima Hassan,"This small obelisk, crafted from alabaster marble in a beige tone, features a sleek and minimalist design. Its classic material and refined finish make it a subtle yet striking."
91,Pottery Mug,Ceramics & Pottery,Drinkware,Blue,One Size,0.39,29,91,325,EGP,272,33,4.12,Luxor,Nour Khaled,"Handcrafted from high-quality ceramics, this blue pottery mug features a vibrant finish and durable design. Its artistic detailing makes it perfect for everyday use."
92,Pottery Mug,Ceramics & Pottery,Drinkware,White,One Size,0.43,11,53,325,EGP,303,94,3.85,Luxor,Mariam Said,"This classic white pottery mug is crafted from fine ceramics and offers a clean, timeless design. Its sturdy build and elegant finish make it ideal for daily enjoyment."
93,Pottery Mug,Ceramics & Pottery,Drinkware,Black,One Size,0.54,13,86,325,EGP,284,23,4.81,Alexandria,Samir Fathy,"Made from quality ceramics, this black pottery mug features a sleek design with a modern twist. Its durable material and minimalist style make it a versatile addition to any kitchen."
94,Pottery Bowl,Ceramics & Pottery,Tableware,Blue & Green,One Size,1.42,28,95,150,EGP,126,10,3.22,Luxor,Mariam Said,"Crafted from fine ceramics, this bowl features a delightful blend of blue and green hues. Its unique design and durable construction add charm to any table setting."
95,Pottery Bowl,Ceramics & Pottery,Tableware,Black,One Size,1.61,5,96,150,EGP,1108,69,3.99,Giza,Fatima Hassan,"This sleek pottery bowl, made from high-quality ceramics in black, offers a modern and minimalist design. Its refined finish and durability make it perfect for everyday dining."
96,Pottery Bowl,Ceramics & Pottery,Tableware,Brown,One Size,0.91,48,0,150,EGP,128,34,3.02,Giza,Fatima Hassan,"Crafted from quality ceramics, this brown pottery bowl boasts a warm, earthy finish and simple design. Its durable construction and artisanal charm make it inviting for any meal."
97,Pottery Plate,Ceramics & Pottery,Tableware,Black,One Size,1.44,12,18,150,EGP,142,52,3.94,Cairo,Laila Nasser,"This elegant pottery plate, made from fine ceramics in black, features a clean, contemporary design. Its durable material and minimalist style make it a versatile piece for serving or display."
98,Pottery Frying Pan,Ceramics & Pottery,Cooking,Reddish Brown,One Size,2.19,28,1,325,EGP,238,95,3.11,Aswan,Heba Soliman,"Crafted from high-quality ceramics, this reddish brown frying pan combines functionality with an artisanal finish. Its durable design and unique color add a touch of style to your kitchen essentials."
99,Pottery Ashtray,Ceramics & Pottery,Home Decor,Blue & Gold,One Size,2.04,15,52,150,EGP,124,10,3.24,Aswan,Mostafa Ibrahim,"This artistic pottery ashtray, featuring a blend of blue and gold hues, is handcrafted from quality ceramics. Its unique design and vibrant finish make it a distinctive accessory."
100,Pottery Ashtray,Ceramics & Pottery,Home Decor,Blue,One Size,1.75,21,43,130,EGP,119,19,3.24,Luxor,Mariam Said,"Made from fine ceramics, this blue pottery ashtray offers a sleek design with a smooth finish. Its compact size and artistic flair make it both functional and decorative."
101,Ceramic Mug,Ceramics & Pottery,Drinkware,Blue & White,One Size,0.47,12,89,195,EGP,172,58,4.3,Giza,Fatima Hassan,"This ceramic mug, featuring a classic blue and white design, is crafted from quality ceramics for everyday use. Its timeless style and durable finish make it a staple piece."
102,Ceramic Plate,Ceramics & Pottery,Tableware,Brown,One Size,1.32,39,31,550,EGP,480,96,4.49,Cairo,Laila Nasser,"Handcrafted from high-quality ceramics, this brown ceramic plate offers a rich, earthy tone with a refined finish. Its elegant design and durable material make it a statement piece for any table."
103,Ceramic Bowl,Ceramics & Pottery,Tableware,Green,One Size,1.25,39,69,245,EGP,214,1,4.17,Luxor,Mariam Said,"Crafted from fine ceramics, this green bowl features a fresh, vibrant design with a smooth finish. Its versatile style and durable construction make it ideal for serving or display."
